Qwen3-30B,,,,,,,,,,
,,webshop,,,frozen lake,,,mountain car,,
,,env0,env1,env2,env0,env1,env2,env0,env1,env2
explicit,no-memory,0.0000,0.3000,0.0000,,,,1.0000,1.0000,1.0000
,vanilla,0.6500,0.0000,0.0000,,,,1.0000,1.0000,1.0000
,vanilla-glove,0.8500,0.9500,0.8500,,,,1.0000,1.0000,1.0000
,memorybank,0.9500,0.3500,0.3000,,,,1.0000,1.0000,1.0000
,memorybank-glove,0.9500,0.9500,0.8000,,,,1.0000,1.0000,1.0000
,voyager,0.9000,0.0000,0.0000,,,,1.0000,1.0000,1.0000
,voyager-glove,0.8500,0.9500,0.9000,,,,1.0000,1.0000,1.0000
,generative,0.7500,0.0000,0.0000,,,,1.0000,1.0000,1.0000
,generative-glove,0.9500,0.9500,0.9000,,,,1.0000,1.0000,1.0000
,,env0,env1,,env0,env1,,,,
implicit,no-memory,1.0000,1.0000,,0.0000,0.0000,,,,
,vanilla,1.0000,1.0000,,0.9000,1.0000,,,,
,vanilla-glove,1.0000,1.0000,,0.8500,1.0000,,,,
,memorybank,1.0000,1.0000,,0.9000,0.7500,,,,
,memorybank-glove,1.0000,1.0000,,0.8500,0.8000,,,,
,voyager,1.0000,1.0000,,0.8500,1.0000,,,,
,voyager-glove,1.0000,1.0000,,0.8500,1.0000,,,,
,generative,1.0000,1.0000,,0.9000,1.0000,,,,
,generative-glove,1.0000,1.0000,,0.8500,1.0000,,,,
