Qwen2.5-7B,,,,,,,,,,
,,webshop,,,frozen lake,,,mountain car,,
,,env0,env1,env2,env0,env1,env2,env0,env1,env2
explicit,no-memory,0.7000,0.0500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
,vanilla,0.6750,0.0000,0.0000,0.8500,0.0000,0.0000,,,
,vanilla-glove,0.9500,0.7375,0.7500,0.8500,0.8500,0.8500,,,
,memorybank,1.0000,0.0375,0.3750,0.8500,0.0000,0.0500,,,
,memorybank-glove,1.0000,0.5000,0.0000,0.8500,0.8500,0.8500,,,
,voyager,1.0000,0.0000,0.0000,0.8500,0.0000,0.0000,,,
,voyager-glove,1.0000,0.8375,0.8375,0.8000,0.8500,0.8500,,,
,generative,1.0000,0.0000,0.0000,0.8500,0.0000,0.0000,,,
,generative-glove,1.0000,0.7750,0.6750,0.8500,0.8500,0.8500,,,
,,env0,env1,,env0,env1,,,,
implicit,no-memory,0.0000,,,0.0000,0.0000,,,,
,vanilla,0.0375,,,0.4250,1.0000,,,,
,vanilla-glove,0.2625,,,0.4250,1.0000,,,,
,memorybank,0.4500,,,0.3500,0.9500,,,,
,memorybank-glove,0.2500,,,0.3750,1.0000,,,,
,voyager,0.4500,,,0.4250,0.9500,,,,
,voyager-glove,0.3250,,,0.4500,1.0000,,,,
,generative,0.4750,,,0.4250,1.0000,,,,
,generative-glove,0.4500,,,0.4250,1.0000,,,,
